ID canónico,Título,Organización,Tipo,Región,País,Fecha límite,Enlace,Afinidad,Prioridad,Fuente,Referencia,Fecha publicación,Resumen,Puntaje,Motivos,Estado revisión,Detectada,Comentario revisión,Revisado por,Fecha revisión
47a392e0ead95a080625,"Evaluation Specialists – One Health, Food Security and Crisis Contexts",FAO,Ambos,Global,Regional/Global,A verificar,https://jobs.fao.org/careersection/fao_external/jobdetail.ftl?job=2601728&tz=GMT%2B02%3A00&tzname=Europe%2FRome,Políticas y estrategia institucional,Media,FAO,,A verificar,"Evaluation Specialists – One Health, Food Security and Crisis Contexts Job Posting: 12/Aug/2026 Closure Date: 09/Sep/2026, 11:59:00 PM Organizational Unit: OED - Office of Evaluation Job Type: Non-staff opportunities Type of Requisition: Consultant / PSA (Personal Services Agreement) Grade Level: N/A Primary Location: Various Locations Duration: Up to 11 months",67,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Referencia oficial no identificada; Alineación concentrada en: Políticas y estrategia institucional; Alineación estratégica baja con la oferta de Grupo CEO,Pendiente,2026-08-29 22:17,,,
f0c5d47c206ce7b0fbdf,HQ26NF180 for Financial Technical Assistance Services for the World Food Programme’s Financial Service Providers under the SheCan programme,UNGM,Ambos,Global,Regional/Global,A verificar,https://www.ungm.org/Public/Notice/306295,Diseño y gestión de proyectos,Media,Tavily – Diseño y gestión de proyectos,WFP Global,A verificar,"To support this objective, WFP seeks qualified service providers to deliver technical assistance and capacity building services to FSP partners, including: WFP invites eligible suppliers to express their interest in providing the requested services. HQ26NF180\_EOI Financial Technical Assistance Services SheCan Programme\_signed.pdf Download all documents No files selected WFP Procurement Unit - hq.tenders@wfp.org Email address: hq.tenders@wfp.org First name: WFP [...] 80101702 - Productivity or efficiency studies or implementation 80101703 - Specification standardization services 80101704 - Supply chain analysis or re engineering services 80101706 - Professional procurement services 81000000 - Engineering and Research and Technology Based Services 81110000 - Computer services 81111800 - System and system component administration services 81111811 - Technical support or help desk services 84000000 - Financial and Insurance Services [...] 80101513 - Process and procedures management consultation service 80101600 - Project management 80101601 - Feasibility studies or screening of project ideas 80101602 - Regional or location studies",71,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Alineación concentrada en: Diseño y gestión de proyectos,Pendiente,2026-08-29 22:19,,,
8da9f4e22b7b01464394,Consultants,A verificar,Firma,América Latina y Caribe,Regional/Global,A verificar,https://www.foodsystemsnetwork.org/consultants.php,"Mercados, comercio e inversiones",Media,Tavily – Políticas y estrategia agroalimentaria,,A verificar,"SEE RFI posted: 1/22/2026 The Inter-American Institute for Cooperation on Agriculture (IICA) and their collaborators seek to hire a consultant for their Sanitary and Phytosanitary (SPS) Measures Project: ""Addressing SPS Barriers to Agricultural and Fishery Trade in the Caribbean."" The consultant (individual or firm) will design and implement a comprehensive food safety culture awareness and capacity-building program for value chain actors across CARICOM countries. Proposals due: February 9, 2026. SEE RFP%20MEASURES%20PROJECT.%20%22Addressing,Agricultural%20and%20Fishery%20Trade%20in%20the%20Caribbean%22) posted: 1/16/2026 [...] IICA seeks to hire a suitable professional/firm to develop food safety guidelines (which span the value chain) for two fish species which are important for intra-regional trade in the Caribbean Region. The Inter-American Institute for Cooperation on Agriculture has been the specialized international agency for agriculture of the Inter-American System for more than 80 years, and its mission is to “encourage, promote and support our Member States in their efforts to achieve agricultural development and rural well-being through international technical c",65,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada; No se identifica con claridad un producto de consultoría,Pendiente,2026-08-29 22:42,,,
b310e9a3f4090638ccf9,términos de referencia,IICA,Ambos,América Latina y Caribe,Regional/Global,A verificar,https://iica.int/wp-content/uploads/2025/12/FONTAGRO_TDR_Evaluador_Proyectos-1.pdf,Alineación general con Grupo CEO,Media,Tavily – Políticas y estrategia agroalimentaria,,A verificar,"INSTITUTO INTERAMERICANO DE COOPERACIÓN PARA LA AGRICULTURA 1 TÉRMINOS DE REFERENCIA CONSULTORIA PARA EVALUACION DE PROYECTOS FONTAGRO Tipo: Internacional Fecha de inicio: 1 de marzo de 2026 Fecha de término: 31 de diciembre de 2026 1. Antecedentes y justificación FONTAGRO (Fondo Regional de Tecnología Agropecuaria) es una alianza de 15 países que impulsa la innovación del sector agroalimentario en América Latina y el Caribe mediante un mecanismo sostenible de cofinanciamiento y la articulación de un foro regional de cooperación científica y tecnológica. Su accionar fortalece los ecosistemas de investigación, desarrollo e innovación (I+D+i) y promueve el intercambio de conocimiento para enfrentar los desafíos productivos, climáticos, nutricionales y tecnológicos de la región. El Plan de [...] en futuros ciclos de FONTAGRO, considerando aprendizajes, eficiencia operativa y alineamiento con prioridades institucionales. 4. Viajes: El consultor no requiere viajar para cumplir con las actividades de la presente consultoría. 5. Perfil de Consultor Formación Académica: Profesional con título universitario en ciencias agropecuarias, agroalimentarias, economía agrícola o áreas afines, con g",68,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada,Pendiente,2026-08-29 22:42,,,
c7cc1cc7d7b1ea939258,Oportunidades para consultores / proveedores - es - IICA,IICA,Ambos,Centroamérica – Costa Rica,Costa Rica,A verificar,https://iica.int/es/consultancy,Políticas y estrategia institucional,Media,Tavily – Políticas y estrategia agroalimentaria,,A verificar,"## Monto Ajudicado 15,482.00 ## 2023/10/30 ## Ecuador Coordinación del proyecto “Quinta Comunicación Nacional y Primer Reporte Bienal de Transparencia – 5CN/1RBT ## Nombre Gabriela Jeanneth Vargas Luna ## Monto Ajudicado USD 71,000.00 ## 2024/07/01 ## Sede Central Identificar y estudiar en profundidad una serie de casos de digitalización. Se pretende que los casos estudiados puedan servir de inspiración y guía a actores diversos (en especial agricultores) para avanzar en proceso de digitalización. ## Nombre Jeremías Lachman ## Monto Ajudicado 16,800.00 ## 2024/08/08 ## Sede Central Consultoría en el Observatorio de Políticas Públicas para los Sistemas Agroalimentarios de América Latina y el Caribe (OPSAa) ## Nombre ## Monto Ajudicado ## 2024/03/10 ## Sede Central [...] ## Monto Ajudicado USD ## 2026/02/01 ## Sede Central Brindar asistencia técnica especializada para apoyar la planificación, coordinación, facilitación, seguimiento y sistematización de los diálogos técnicos y políticos entre países de América Latina y el Caribe y la Unión Europea, bajo el Programa AL INVEST Verde ## Nombre Alba Llavona ## Monto Ajudicado USD ## Sede Central Sede Centr",69,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada,Pendiente,2026-08-29 22:42,,,
108620f8f175ebb190b0,Documento Propiedad de CAF Confidencial PROGRAMA ...,CAF,Firma,Centroamérica – Honduras,Honduras,A verificar,https://www.caf.com/media/4680177/caf-ppsa-sdp_honduras_supervision.pdf,"Bioeconomía, CTI e innovación",Media,Tavily – Políticas y estrategia agroalimentaria,,A verificar,"Unidos de América 00/100). El plazo de ejecución del contrato será de doce (12) meses, contados a partir de la fecha de suscripción del contrato de servicios. 8. El contrato por suscribirse con la firma consultora que resulte seleccionada del presente concurso público internacional será a suma alzada (es decir, mediante pago de una suma global por la totalidad de los servicios). 9. La fecha y hora límite de presentación de consultas y propuestas (enviar versión electrónica), es el día 16/01/2026 y 30/01/2026 a las 16:59 de Montevideo Uruguay respectivamente. Se requiere enviar la propuesta solamente en versión electrónica a la siguiente dirección de correo: SUPERVISIONES_PPSA@CAF.COM, siguiendo las instrucciones de contenido y formato indicadas en el presente documento, de Solicitud de [...] verificando los criterios de priorización, el análisis de costo-beneficio y la sostenibilidad técnica, ambiental y económica de la alternativa seleccionada. • Diseños finales de obras hidráulicas: Revisar y validar planos, memorias descriptivas y de cálculo, especificaciones técnicas, cronogramas y presupuestos, asegurando su viabilidad y conformidad con las normativas locales. • Plan de fortal",69,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada,Pendiente,2026-08-29 22:42,,,
ec246f51739c40a61b13,Manual de Operaciones (MOP) Sección II - 2024,FONTAGRO,Ambos,América Latina y Caribe,Regional/Global,A verificar,https://old.fontagro.org/wp-content/uploads/2025/01/20250107-MANUAL-DE-OPERACIONES-SECCION-IIr-1.pdf,Alineación general con Grupo CEO,Media,Tavily – Políticas y estrategia agroalimentaria,,A verificar,"El objetivo del concurso está orientado a identificar y documentar experiencias exitosas y lecciones aprendidas, en América Latina y el Caribe, que contribuyan a un mejor entendimiento del proceso de innovación en la agricultura. 32. Términos de Referencia (TDR). La STA elabora los TDR sobre la base de un tema específico y lo propone al CD para su aprobación. En caso de que el CD solicite ajustes a estos, la STA los incorporará y enviará para su aprobación. La aprobación de los TDR se realiza en oportunidad de la reunión anual del CD; sin embargo, de ser necesario, podrían utilizarse medios virtuales de aprobación. [...] iii. Plazo N/A El plazo será de hasta 12 meses para el caso de fondos semilla, de hasta 48 meses en el caso de proyectos consensuados, y no debe superar el límite máximo de duración que se anuncia en los términos de referencia en el caso de la convocatoria anual. iv. Regionalidad N/A El proyecto debe ser de carácter regional, es decir, incluir países miembros de FONTAGRO del Cono Sur, Región Andina y Centroamérica y el Caribe; y las actividades propuestas se llevarán a cabo en al menos dos países miembros de FONTAGRO y por medio de diferentes organizaciones. [...]",61,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada; Sin coincidencia clara con las líneas de servicio de Grupo CEO; Alineación estratégica baja con la oferta de Grupo CEO,Pendiente,2026-08-29 22:42,,,
8895854123b0b2af9b81,Iram - international consultancy firm projects in Latin America and the Caribbean,A verificar,Firma,Centroamérica – Costa Rica,Costa Rica,A verificar,https://www.iram-fr.org/iram-projects-in-latin-america-and-the-caribbean.html,Alineación general con Grupo CEO,Media,Tavily – Diseño y gestión de proyectos,,A verificar,"Logo Logo Logo Logo ##### Contributing to healthy diets for the people of Sierra Leone ##### Analysis of the evolutions of agropastoral land tenure policies and... ##### Local development in the wake of turbulence: The example of the I..."") Our experts can intervene for services à la carte or as part of overall support to define, implement and enhance your project. Learn more... # Latin America and the Caribbean Iram has worked in Latin America since the 1960s. Here our activities initially focused on agrarian reforms (Chili, Peru, Venezuela) and then extended to support for small rural producers (Costa Rica, Nicaragua). More recently, the institute has been involved in activities in Brazil and Mexico, as well as frequent missions to Haiti where we work in various domains. [...] ### Life projects ### In Haiti, the Pagode project pursues... #### Our areas of intervention #### #### Our expertise #### Connect with us Iram , Institute for Research and applications development methods - Paris +33 1 44 08 67 67 - Montpellier +33 4 99 23 24 67 #### Information",62,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada; Sin coincidencia clara con las líneas de servicio de Grupo CEO; Alineación estratégica baja con la oferta de Grupo CEO,Pendiente,2026-08-29 22:42,,,
0358a633c5c575211423,(Microsoft Word - 1266 T\351rminos de Referencia),A verificar,Ambos,Centroamérica – Guatemala,Guatemala,A verificar,https://erc.undp.org/evaluation/documents/download/8981,Políticas y estrategia institucional,Media,Tavily – Diseño y gestión de proyectos,,A verificar,"• Experiencia de 5 años en procesos de evaluación de resultados de proyectos y/o programas de desarrollo. • Experiencia en al menos tres evaluaciones de proyectos y/o programas de desarrollo rural. • Experiencia en el uso de la Escala Latinoamérica y del Caribe de seguridad alimentaria y nutricional –ELCSA- • Experiencia en gestionar procesos de evaluación con elementos diversos: i. Varias temáticas (salud, seguridad alimentaria, fortalecimiento institucional, etc.) ii. Diversidad de actores: familias, organizaciones comunitarias, asociaciones de productores, municipalidad, sociedad civil, instituciones gubernamentales, Cooperación Internacional, entre otros. b) Equipo profesional de evaluación mínimo requerido [...] > CRITERIOS DE EVALUACIÓN Tiempo PUNTUACIÓN Específica Parcial Subtotal Total > ENTIDAD CONSULTORA > Experiencia en evaluación de proyectos de desarrollo. 3 evaluaciones 15 15 > 40 40 > 2 evaluaciones 91 evaluación 6Experiencia en evaluaciones de seguridad alimentaria y nutricional aplicando la metodología (ELCSA). 2 evaluaciones 15 15 1 evaluaciones 9Experiencia en evaluación de varias temáticas: Salud, Seguridad Alimentaria, Gestión de Riesgo, Hábitat, otr",68,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada; Alineación concentrada en: Políticas y estrategia institucional,Pendiente,2026-08-29 22:42,,,
75ba156343eeb9a4d027,Relatrio Final Misso Superviso PSI-FIDA_1.pdf,FIDA/IFAD,Ambos,América del Sur – Brasil,Brasil,A verificar,https://www.ifad.org/documents/48415603/49495149/Relatrio+Final+Misso+Superviso+PSI-FIDA_1.pdf/49545948-c1e0-4a82-613c-f6f3d163ea24?t=1726608042305,Alineación general con Grupo CEO,Media,Tavily – Diseño y gestión de proyectos,,A verificar,"a. Consultoria Individual (CI) Pessoa Física: Processos 163/2018; 033/2019; 035/2019 . Os documentos dos certames analisados estavam em conformidade com as etapas do método de CI, sem inconsistências na pontuação dos critérios previstos no TDR, por parte da Comissão de Avaliação, que pudessem afetar o resultado classificatório. Em momento anterior à missão, o FIDA realizou auditoria no processo de CI número 046/2019 , por ter havido denúncia de licitante. O objeto do TDR era ""Sistematizar e elaborar texto de 04 (quatro) boas práticas identificadas no estado da Bahia; assim como organizar e realizar a relatoria escrita das atividades do 1° Encontro de Gestores de Projetos FIDA no MERCOSUL Ampliado, de 17 a 19 de setembro de 2019 , em Petrolina - PE"". [...] 01.01.01 Desenvolvimento e manutenção do sistema físico e financeiro de informações de monitoramento para projetos do FIDA; 1 0 1 0 1 0 001.02.02 Realização de estudos de resultados econômicos dos Projetos FIDA no Brasil. 0 0 0 0 6 0 001.03.03 Workshops e Reuniões do GT-M&A FIDA para treinar equipes dos estados encarregadas de M & A 3 1 3 3 7 6 85,71 01.04.04 Equipes de M&A dos projetos FIDA no Brasil adotando uma metodologia de",63,Perfil sugerido: Grupo CEO; Fecha límite no verificada; Fuente exploratoria: requiere revisión humana; Referencia oficial no identificada; Alineación concentrada en: Diseño y gestión de proyectos; Alineación estratégica baja con la oferta de Grupo CEO,Pendiente,2026-08-29 22:42,,,
